ID,MST,Ten_NNT,Dia_chi,CQT
2387,3200125918,Công ty TNHH Một thành viên An Thịnh,"Đường Hoàng Thị Ái, Khu phố 8, phường 5, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2388,3200040982-003,Khách Sạn Đông Trường Sơn,"Km3 Quốc lộ 9, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2389,3200252955,Công ty TNHH Một thành viên Toàn Phát Quảng Trị,"Số 53 Tôn Thất Thuyết, phường 5, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2390,3200288817,Công ty Cổ phần Việt Tín,"Số 93 Đường Nguyễn Trãi, phường 1, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2391,3200437466,Công ty Trách nhiệm hữu hạn Habico,"02 An Dương Vương, phường Đông Thanh, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2392,3200511247,Công ty Trách nhiệm hữu hạn Xây dựng Tổng hợp Số 8,"Số 66B Lê Thế Hiếu, phường 1, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2393,3200642105,Công ty Trách nhiệm hữu hạn Xuất nhập khẩu Hoàng Dũng Quảng Trị,"Số 368 đường Lê Duẩn, phường Đông Lương, TP Đông Hà, tỉnh Quảng Trị",Đội Thuế liên huyện Đông Hà - Cam Lộ
2394,3200270979,Công ty Cổ phần Đầu tư Sài Gòn,"Đường Lê Duẩn, Khu Phố 3, phường An Đôn, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2395,3200276963,Công ty Trách nhiệm hữu hạn Một thành viên Thương mại Phước Dũng,"Số 181 Trần Hưng Đạo, phường 2, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2396,3200295250,Doanh nghiệp tư nhân Nguyễn Danh,"Số 114 Lê Duẩn, Khu phố 2, phường 1, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2397,3200361577,Công ty Trách nhiệm hữu hạn Mai Dũng,"Số 07 Trần Hưng Đạo, phường 3, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2398,3200548889,Công ty Trách nhiệm hữu hạn Một thành viên Lê Quang Hạnh,"Khu phố 3, phường 2, thị xã Quảng Trị, tỉnh Quảng Trị",Đội Thuế liên huyện Triệu Hải
2399,3200076178,Công ty TNHH Một thành viên Trần Xuân Hồng,"Khu phố Lao động -Hồ xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2400,3200174721,Công ty Trách nhiệm hữu hạn Thương mại Tổng hợp Hiếu Thịnh,"Khóm Hữu Nghị, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2401,3200233889,Công ty Trách nhiệm hữu hạn Bình Minh,"Số 15 Đinh Tiên Hoàng, Khu phố 1, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2402,3200591330,Công ty Trách nhiệm hữu hạn Một thành viên Hùng Thịnh Thành,"Đường Lê Duẩn, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2403,3200610336,Công ty Trách nhiệm hữu hạn Một thành viên Võ Mạnh Linh,"Số 230 đường Lê Duẩn, thị trấn Hồ Xá, huyện Vĩnh Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
2404,3200195922,Công ty Trách nhiệm hữu hạn Tiến Cường,"Đường Quốc lộ 1A, thôn Gia Môn, xã Phong Bình, huyện Gio Linh, tỉnh Quảng Trị",Đội Thuế liên huyện Vĩnh Linh - Gio Linh
